,id,name,league,rank,rank_percentage
304,971,Jimmy Rollins,mlb,224.8235294117647,17.575286544441216
305,210,Manny Ramirez,mlb,211.31578947368422,17.62171802295809
306,255,Frank Thomas,mlb,218.57894736842104,17.69907079014241
307,braxtja01w,Janice Braxton,wnba,24.666666666666668,17.77664132189662
308,boyleda01,Dan Boyle,nhl,152.7058823529412,17.812761767927807
309,arizatr01,Trevor Ariza,nba,82.23076923076923,17.821254524904315
310,lecavvi01,Vincent Lecavalier,nhl,155.35294117647058,17.834195382150995
311,893,Mike Piazza,mlb,213.9375,17.86614827327857
312,swoopsh01w,Sheryl Swoopes,wnba,27.25,17.942345626560783
313,yandlke01,Keith Yandle,nhl,155.9090909090909,17.975789774817642
314,kukocto01,Toni Kukoc,nba,80.23076923076923,18.20475495687903
315,princep01w,Epiphanny Prince,wnba,27.75,18.246328293649793
316,giordma01,Mark Giordano,nhl,159.27272727272728,18.28926306816155
317,ehrhoch01,Christian Ehrhoff,nhl,162.41666666666666,18.30301589135843
318,5222,Justin Upton,mlb,236.1818181818182,18.308987612882483
319,azzije01w,Jennifer Azzi,wnba,35.0,18.336408587660408
320,goligal01,Alex Goligoski,nhl,159.9,18.35205606904671
321,5930,Nick Markakis,mlb,240.33333333333334,18.35984760608073
322,byfugdu01,Dustin Byfuglien,nhl,159.83333333333334,18.38305495726687
323,zhitnal01,Alexei Zhitnik,nhl,152.93333333333334,18.441727136499537
324,davisba01,Baron Davis,nba,84.23076923076923,18.454590236746547
325,96,Andruw Jones,mlb,233.2941176470588,18.64492395055921
326,haywago01,Gordon Hayward,nba,86.14285714285714,18.665326305608342
327,zhamnal01,Alex Zhamnov,nhl,157.6153846153846,18.692643918094493
328,ozolisa01,Sandis Ozolinsh,nhl,157.46666666666667,18.790941762262015
329,weslegl01,Glen Wesley,nhl,154.8,18.81100928522593
330,cambyma01,Marcus Camby,nba,84.82352941176471,18.911778484423866
331,barrybr01,Brent Barry,nba,84.07142857142857,18.92257900594164
332,birdsu01w,Sue Bird,wnba,30.6,18.952746295934205
333,augusse01w,Seimone Augustus,wnba,29.916666666666668,19.005698674978763
334,letankr01,Kris Letang,nhl,165.54545454545453,19.02256124043864
335,blaylmo01,Mookie Blaylock,nba,79.3076923076923,19.0324163940655
336,nummite01,Teppo Numminen,nhl,154.05,19.085615770560555
337,greenda02,Danny Green,nba,87.25,19.09958977647956
338,marchbr03,Brad Marchand,nhl,168.25,19.100224036130033
339,1451,Aaron Harang,mlb,244.71428571428572,19.156414537039847
340,johnske02,Kevin Johnson,nba,77.75,19.186577434391523
341,510,Josh Beckett,mlb,243.21428571428572,19.187215628220432
342,1000802,Albert Belle,mlb,203.41666666666666,19.19596101652377
343,conlemi01,Mike Conley,nba,87.4,19.210187092389376
344,perroki01w,Kim Perrot,wnba,20.0,19.279162269664745
345,heatlda01,Dany Heatley,nhl,171.15384615384616,19.394198779246786
346,eliaspa01,Patrik Elias,nhl,160.75,19.40154843713252
347,gilloje01w,Jennifer Gillom,wnba,36.57142857142857,19.54638166148475
348,5361,Freddie Freeman,mlb,249.75,19.626331440891807
